nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),incertesa calculada (kcal/mol),resultats experimentals (AMBER/GAFF) (kcal/mol),incertesa experimental (kcal/mol),metode 1 (kcal/mol),incertesa metode 1 (kcal/mol)
2-methylhexane,mobley_4043987,2.93,0.03,2.93,0.60,0.055552090443637736,0.32765757820760477
"1,4-dimethylpiperazine",mobley_4059279,-7.58,0.03,-7.58,0.60,-3.495369105540993,0.4148238937848086
"2,7-dichlorodibenzo-p-dioxin",mobley_4149784,-3.67,0.02,-3.67,0.12,-15.120748289426015,0.446065082171629
"2,3,4-trimethylpentane",mobley_4177472,2.56,0.03,2.56,0.60,-4.053413934638575,0.34159690842062174
"N,N-dimethylbenzamide",mobley_4188615,-9.29,0.04,-9.29,0.60,-40.90631007647204,0.5229098164716588
nitrobenzene,mobley_4193752,-4.12,0.02,-4.12,0.60,-16.951343932718675,0.30547401499646926
4-methoxyaniline,mobley_4218209,-7.48,0.03,-7.48,0.60,-11.482796670852196,0.45986701878238334
"1,2,3,4-tetrachlorobenzene",mobley_4219614,-1.34,0.02,-1.34,0.60,-3.6880981063756995,0.3347862915222629
isobutylbenzene,mobley_4252724,0.16,0.02,0.16,0.60,-6.678082132933795,0.44895277317028837
2-methylpyridine,mobley_4287564,-4.63,0.02,-4.63,0.60,-2.0959463795028856,0.37628515977333027
2-chloropyridine,mobley_4291494,-4.39,0.02,-4.39,0.60,-4.44561531306584,0.5463803467508811
pent-1-yne,mobley_430089,0.01,0.02,0.01,0.60,1.2196396254264261,0.29611467375323325
propanenitrile,mobley_4305650,-3.84,0.02,-3.84,0.60,-5.910651476985387,0.29314186248771973
6-chlorouracil,mobley_4338603,-15.83,0.06,-15.83,1.22,NA,NA
iodomethane,mobley_4364398,-0.89,0.01,-0.89,0.60,0.3738185155785523,0.2631851487991918
"1-amino-4-hydroxy-9,10-anthracenedione",mobley_4371692,-9.53,0.02,-9.53,0.28,NA,NA
nonane,mobley_4375719,3.13,0.03,3.13,0.60,1.911487325692311,0.36703036423922186
4-chloro-3-methyl-phenol,mobley_4395315,-6.79,0.03,-6.79,0.60,-0.9449731025599162,0.39079435908366833
chloromethane,mobley_4434915,-0.55,0.01,-0.55,0.60,0.9044997906124188,0.2105623944862958
1-acetoxyethyl acetate,mobley_4463913,-4.97,0.10,-4.97,0.60,-18.804893378117285,1.1998869553449207
"(Z)-1,2-dichloroethylene",mobley_4465023,-1.17,0.02,-1.17,0.60,0.8476592930000844,0.2807349143022665
"1,1-diphenylethene",mobley_4479135,-2.78,0.02,-2.78,0.10,-22.193790969375897,0.5674810522199359
fluorobenzene,mobley_4483973,-0.80,0.02,-0.80,0.60,-2.766474611088465,0.3089189517911846
1-bromo-4-methyl-benzene,mobley_4494568,-1.39,0.02,-1.39,0.60,-0.803083111723927,0.4129002716026183
"2-bromo-2-chloro-1,1,1-trifluoro-ethane",mobley_4506634,-0.11,0.02,-0.11,0.60,0.22523001668601916,0.2977148212449266
"1,4-dichlorobenzene",mobley_4553008,-1.01,0.02,-1.01,0.60,-3.6777171771588826,0.3464085490664369
"2,3-dimethylbutane",mobley_4561957,2.34,0.02,2.34,0.60,0.35639286331938513,0.2723983270212333
"2,6-dimethylpyridine",mobley_4584540,-4.59,0.02,-4.59,0.60,0.8037372710998749,0.4378901867576724
"(2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",mobley_4587267,-23.62,0.04,-23.62,0.32,-42.99792059561895,1.418108173015211
1-chloro-2-(2-chloroethoxy)ethane,mobley_4603202,-4.23,0.01,-4.23,0.20,2.5873215453114264,0.3254468865631484
ethyl paraben,mobley_4609460,-9.20,0.06,-9.20,0.30,-36.56164020423199,0.5540898615274524
1-benzylimidazole,mobley_4613090,-7.63,0.02,-7.63,0.12,-14.369224982241922,0.46891292466324125
methyl cyclopropanecarboxylate,mobley_4620651,-4.10,0.04,-4.10,0.60,-37.296896548781795,0.3845393151790497
"1,2-dimethoxyethane",mobley_4630641,-4.84,0.02,-4.84,0.60,-0.6661657749263998,0.3869175903414088
ethylene glycol,mobley_4639255,-9.30,0.03,-9.30,0.60,3.4557136572840754,0.688985921834216
m-bis(trifluoromethyl)benzene,mobley_4678740,1.07,0.04,1.07,0.20,-43.36343232496543,0.41151377142848755
4-propylphenol,mobley_4683624,-5.21,0.02,-5.21,0.69,-3.9281097469209447,0.4191720414790233
2-propoxyethanol,mobley_4687447,-6.40,0.03,-6.40,0.60,-8.778103882985318,0.4042447116247481
heptachlor,mobley_468867,-2.55,0.03,-2.55,0.10,-11.008818071626056,0.4160337206213456
2-acetoxyethyl acetate,mobley_4689084,-6.34,0.06,-6.34,0.20,-25.68763409166757,2.449975129218908
"1,2-diethoxyethane",mobley_4690963,-3.54,0.03,-3.54,0.60,-1.5892539559606522,0.3912972770140043
octanal,mobley_4694328,-2.29,0.03,-2.29,0.60,-7.008209211723713,0.37054603627238203
"1,2-dichloropropane",mobley_4699732,-1.27,0.02,-1.27,0.60,-0.7362043225327242,0.3308819668710185
"1,2-dimethylcyclohexane",mobley_4715906,1.58,0.02,1.58,0.60,-3.2121259830005955,0.36852809525767716
1-iodoheptane,mobley_4759887,0.27,0.03,0.27,0.60,1.747647896949406,0.40089024683113567
hept-1-ene,mobley_4762983,1.66,0.02,1.66,0.60,2.5669332836956547,0.36863376693262045
"2,4-dimethylphenol",mobley_4780078,-6.01,0.03,-6.01,0.60,-11.601114915946352,0.4340110679194144
pentanoic acid,mobley_4792268,-6.16,0.06,-6.16,0.60,-11.572969281236563,0.4117472497839876
hexachlorobenzene,mobley_4845722,-2.33,0.04,-2.33,1.16,-6.035187317861561,0.321649812413716
methanesulfonyl chloride,mobley_4850657,-4.87,0.02,-4.87,0.60,-3.405587532085297,0.3390361649347788
"2,6-dimethoxyphenol",mobley_486214,-6.96,0.02,-6.96,0.10,-28.314210641806156,0.459099239660362
aniline,mobley_4883284,-5.49,0.02,-5.49,0.60,4.107591283069909,0.37843702277356045
3-ethylpyridine,mobley_4884177,-4.59,0.02,-4.59,0.60,-11.83097495936706,0.37274289082248474
pentanenitrile,mobley_4893032,-3.52,0.02,-3.52,0.60,-2.556069161216707,0.33186261372671905
isopentyl formate,mobley_4924862,-2.13,0.02,-2.13,0.60,-20.71641299464204,10.721475317075924
hept-1-yne,mobley_49274,0.60,0.02,0.60,0.60,-1.0096516962787052,0.3357885269551112
diethoxymethoxybenzene,mobley_4934872,-5.23,0.04,-5.23,0.60,NA,NA
"2-(2,3-dimethylphenyl)aminobenzoic acid",mobley_4936555,-6.78,0.03,-6.78,0.10,NA,NA
nitroxyacetone,mobley_4964807,-5.99,0.02,-5.99,0.10,-13.67432233736874,0.3623676953702963
ethylsulfanylethane,mobley_4983965,-1.46,0.02,-1.46,0.60,0.8152313732829968,0.27730462972478787
"2-amino-9,10-anthraquinone",mobley_5003962,-11.53,0.03,-11.53,0.29,-53.75756227613147,0.6382543557221079
4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde,mobley_5006685,-4.09,0.02,-4.09,0.17,-18.539129348493077,0.41910053334350356
pyridine-4-carbonitrile,mobley_5026370,-6.02,0.02,-6.02,0.60,-7.821104421982556,0.37302382438630316
1-propylsulfanylpropane,mobley_5052949,-1.28,0.02,-1.28,0.60,-0.7690145627510983,0.3266073558811224
2-methyltetrahydrofuran,mobley_5056289,-3.30,0.02,-3.30,0.60,2.2177047057789787,0.35261615387824474
2-nitrophenol,mobley_5063386,-4.58,0.03,-4.58,0.60,-3.116194001152703,0.7926260965462838
2-methoxyaniline,mobley_5072416,-6.12,0.03,-6.12,0.60,-41.48645888128439,0.4912008556936712
"1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine",mobley_5076071,-5.66,0.04,-5.66,1.93,NA,NA
heptan-1-ol,mobley_5079234,-4.21,0.02,-4.21,0.60,-2.119072694412177,0.5042703240808368
indane,mobley_5094777,-1.46,0.02,-1.46,0.60,-5.752139841222197,0.3714283980386973
"2,6-dimethylnaphthalene",mobley_5110043,-2.63,0.03,-2.63,0.60,-8.153140391834548,0.36226656519611516
butadiene,mobley_511661,0.56,0.10,0.56,0.20,3.802448583541957,0.23825514450494995
4-methylpentan-2-ol,mobley_5123639,-3.73,0.02,-3.73,0.60,-0.4581738564818165,0.35160811847361784
isobutane,mobley_5157661,2.30,0.10,2.30,0.20,4.104928426230126,0.25784065531431766
aldicarb,mobley_5200358,-9.84,0.05,-9.84,0.10,-40.40654826771718,0.5611171156514047
2-ethylpyrazine,mobley_5220185,-5.45,0.03,-5.45,0.60,-12.432773779962714,0.3990814815910177
methanethiol,mobley_525934,-1.20,0.10,-1.20,0.20,-1.1332628606218556,0.24904289387029707
1-ethylnaphthalene,mobley_5263791,-2.40,0.03,-2.40,0.60,-17.955869897352393,0.4858072610591134
"1,2-dinitroxyethane",mobley_52782,-5.73,0.02,-5.73,0.10,-14.845817603453419,0.38538623514892734
Amitriptyline,mobley_5282042,-7.43,0.03,-7.43,0.60,-36.900270653060204,0.6974036922752394
"1,4-dichlorobutane",mobley_5286200,-2.32,0.02,-2.32,0.60,-4.938270484675215,0.2679617897087078
hex-1-ene,mobley_5310099,1.58,0.02,1.58,0.60,3.2544829481261943,0.3012559277595032
phenylmethanol,mobley_5311804,-6.62,0.03,-6.62,0.60,-6.079287060404409,0.5086761817924046
"N,N-dimethylaniline",mobley_5326154,-3.45,0.02,-3.45,0.60,-3.1213120767190596,0.4417708809733704
"3,3-dimethylbutan-2-one",mobley_5346580,-3.11,0.02,-3.11,0.60,-21.993030678167482,0.3543840844021964
"2,2-dichloro-1,1-difluoro-1-methoxy-ethane",mobley_5347550,-1.12,0.02,-1.12,0.60,-9.209760470533379,0.2787542953623006
2-chlorodibenzo-p-dioxin,mobley_5371840,-3.10,0.02,-3.10,0.10,-15.908970009423168,0.4222361148569528
methyl butanoate,mobley_5390332,-2.83,0.02,-2.83,0.60,-17.30165121848444,0.4179486006338783
diazinon,mobley_5393242,-6.48,0.05,-6.48,0.13,-93.22051413915335,0.6349664270829279
cumene,mobley_5445548,-0.30,0.02,-0.30,0.60,-7.947537685599022,0.3512517445859555
n-pentane,mobley_5449201,2.30,0.10,2.30,0.20,2.8631154810174015,0.32515755946618136
"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",mobley_5456566,-2.98,0.06,-2.98,1.00,-11.657735129234823,0.4098586542875773
4-tert-butylphenol,mobley_5467162,-5.91,0.04,-5.91,0.60,-12.387171558637823,0.7210957149217732
isopentyl acetate,mobley_5471704,-2.21,0.03,-2.21,0.60,-11.594827336174738,0.4236199267586455
"2,3-dimethylnaphthalene",mobley_547634,-2.78,0.02,-2.78,0.60,-8.30812665584818,0.45675431933344574
"1,1,2,3,3,3-hexafluoroprop-1-ene",mobley_5494918,2.93,0.02,2.93,0.60,-0.778681721468331,0.30484688102111074
1-methylimidazole,mobley_5499659,-8.41,0.03,-8.41,0.60,-7.0985317215963235,0.3327619219163044
"1,1,1-trimethoxyethane",mobley_550662,-4.42,0.02,-4.42,0.60,NA,NA
"1,2,3,4-tetrachlorodibenzo-p-dioxin",mobley_5510474,-3.81,0.03,-3.81,0.14,-12.302487001876992,0.3762159784362099
4-methylaniline,mobley_5518547,-5.57,0.03,-5.57,0.60,NA,NA
benzenethiol,mobley_5520946,-2.55,0.02,-2.55,0.60,-1.4196030841926515,0.2990353191775069
"1,3,5-trichloro-2-phenyl-benzene",mobley_5538249,-2.16,0.03,-2.16,0.10,-14.96326230416864,0.4487187712917222
"1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene",mobley_5561855,-1.96,0.04,-1.96,0.10,-6.924590390464459,0.5285805493731448
"2,6-dimethylaniline",mobley_5571660,-5.21,0.03,-5.21,0.60,NA,NA
"4-methoxy-N,N-dimethyl-benzamide",mobley_5600967,-11.01,0.04,-11.01,0.60,-48.774494742148306,0.5290130306391163
"(2S,5R)-2-isopropyl-5-methylcyclohexanone",mobley_5616693,-2.53,0.02,-2.53,0.25,-14.73301650988363,5.72197954928556
2-methylpropanal,mobley_5627459,-2.86,0.02,-2.86,0.60,-13.867908201537556,0.3864091366504561
ammonia,mobley_5631798,-4.29,0.01,-4.29,0.60,-0.5990932902946282,0.3156722566885625
"1,3-dimethylnaphthalene",mobley_5665561,-2.47,0.03,-2.47,0.60,-10.559934986901384,0.39521067481577726
"hexa-1,5-diene",mobley_5690766,1.01,0.02,1.01,0.60,-2.9818117214458297,0.28060798743126936
N-methylmethanamine,mobley_5692472,-4.29,0.02,-4.29,0.60,-1.2426016031170217,0.33309306222752105
dicamba,mobley_5708811,-9.86,0.04,-9.86,1.93,-23.03881235034222,0.5841365160007304
4-methyl-1H-imidazole,mobley_5732611,-10.27,0.03,-10.27,0.60,-4.85199506516752,0.4116090701595188
1-methyl-2-nitro-benzene,mobley_5747188,-3.58,0.02,-3.58,0.60,-10.308799691773288,0.4071447603465067
"1,1,1,2-tetramethoxyethane",mobley_5747981,-5.73,0.04,-5.73,0.60,NA,NA
pentan-1-ol,mobley_5759258,-4.57,0.02,-4.57,0.60,-2.9704395976388867,0.3742910284473917
dimethyl sulfate,mobley_5760563,-5.10,0.02,-5.10,0.60,-49.77179836512893,0.470112324828114
2-methoxyethanol,mobley_5816127,-6.62,0.03,-6.62,0.40,-6.519205329999448,0.5401025252925312
methylcyclopentane,mobley_5852491,1.59,0.02,1.59,0.60,4.889009752900798,0.2968522402589106
quinoline,mobley_5857,-5.72,0.02,-5.72,0.60,-19.28419742745414,0.3703546225626171
2-butoxyethanol,mobley_5880265,-6.25,0.03,-6.25,0.60,4.5309527468220665,0.7808975564583042
hexylbenzene,mobley_588781,-0.04,0.03,-0.04,0.60,-10.659226758766373,0.4154118267139555
propyl propanoate,mobley_5890803,-2.44,0.02,-2.44,0.60,-21.65195843498085,0.4694681916222867
ethyldisulfanylethane,mobley_590519,-1.64,0.02,-1.64,0.60,-0.6733467525412284,0.36931330409032515
4-methyl-2-methoxyphenol,mobley_5917842,-5.80,0.02,-5.80,0.10,-15.940549874457954,0.5192037481002045
"2,2-dimethylbutane",mobley_5935995,2.51,0.02,2.51,0.60,5.266569836445935,0.29147418939253544
2-nitroaniline,mobley_5948990,-7.37,0.03,-7.37,0.60,4.698170112858392,0.5269079507736717
"1,1,2,2-tetrachloroethylene",mobley_5952846,0.10,0.02,0.10,0.60,1.06673952609055,0.27588501619959577
3-methylbutan-1-ol,mobley_5973402,-4.42,0.03,-4.42,0.60,1.965662464174458,0.3772146547552882
3-methylpyridine,mobley_5977084,-4.77,0.02,-4.77,0.60,-12.340654694661293,0.3185731374632649
1-nitrobutane,mobley_6006813,-3.09,0.02,-3.09,0.60,-4.10154578455246,0.2990588767647639
diflunisal,mobley_6055410,-9.40,0.10,-9.40,0.20,-47.79053330848917,1.7026960104028075
hexan-1-amine,mobley_6060301,-3.95,0.02,-3.95,0.60,-2.646516699255552,0.4060650187481608
oct-2-enal,mobley_6081058,-3.43,0.03,-3.43,0.60,-4.275487929800231,0.4547909630966971
4-nitroaniline,mobley_6082662,-9.82,0.05,-9.82,0.10,NA,NA
ethylene,mobley_6091882,1.28,0.01,1.28,0.60,2.608809522061143,0.2385093061677348
diphenyl ether,mobley_6102880,-2.87,0.02,-2.87,0.69,-19.854931640070777,0.5571897063741906
trimethyl phosphate,mobley_6115639,-8.70,0.06,-8.70,0.10,-68.60512603069311,0.4900683751513178
4-methylbenzaldehyde,mobley_6175884,-4.27,0.03,-4.27,0.60,-16.099455275988145,0.42565328477311526
"1,1,2,2-tetrachloroethane",mobley_6190089,-2.37,0.02,-2.37,0.10,-2.3048056897673277,0.26709933915577316
"2,6-dichlorosyringaldehyde",mobley_6195751,-8.68,0.02,-8.68,0.76,-36.73260669909168,0.5671043732522804
"2,3-diacetoxypropyl acetate",mobley_6198745,-8.84,0.10,-8.84,0.20,NA,NA
propyl paraben,mobley_6201330,-9.37,0.06,-9.37,0.22,-43.06225472178829,1.4414107253701567
pyridine-3-carbaldehyde,mobley_6232400,-7.10,0.03,-7.10,0.60,-19.9580770799011,0.3888829365231145
2-chlorobutane,mobley_6235784,0.00,0.02,0.00,0.60,-2.3047989147790013,0.25321354695539583
cyanuric acid,mobley_6239320,-18.06,0.07,-18.06,0.27,NA,NA
octan-1-amine,mobley_6248915,-3.65,0.03,-3.65,0.60,-4.147361778767703,0.48342098200053063
1-iodohexane,mobley_6250025,0.08,0.02,0.08,0.60,0.7120617778178404,0.3479971094657085
3-chloroaniline,mobley_6257907,-5.82,0.02,-5.82,0.60,NA,NA
azetidine,mobley_6266306,-5.56,0.02,-5.56,0.60,1.0753573052132421,0.32645057547704653
1-bromo-2-methyl-propane,mobley_627267,-0.03,0.02,-0.03,0.60,-0.6359438593086733,0.24244360946060692
"1,1,1-trifluoropropan-2-ol",mobley_628086,-4.16,0.03,-4.16,0.60,-22.933119812404012,0.4351236454210015
"1,3-dichloro-2-(2,6-dichlorophenyl)benzene",mobley_628951,-2.28,0.04,-2.28,0.12,-15.780904759052762,0.5007435335777546
4-ethylpyridine,mobley_6303022,-4.73,0.02,-4.73,0.60,1.2609646884671317,0.3825120340067048
piperidine,mobley_6309289,-5.11,0.02,-5.11,0.60,-1.648958065459651,0.3236291718239429
1-(4-methoxyphenyl)ethanone,mobley_632905,-4.40,0.03,-4.40,0.60,-24.73152123457853,0.5011519434343981
"(1R)-2,2,2-trichloro-1-dimethoxyphosphoryl-ethanol",mobley_6334915,-12.74,0.04,-12.74,1.93,NA,NA
terbutryn,mobley_6338073,-6.68,0.05,-6.68,0.42,12.2182810075887,1.0367268307543003
1-(3-pyridyl)ethanone,mobley_6353617,-8.26,0.03,-8.26,0.60,-3.1165738896283024,0.515466148763013
"1,2-bis(trifluoromethyl)benzene",mobley_6358463,1.07,0.03,1.07,0.60,-23.2486258892677,0.41687271190926745
carbon tetrachloride,mobley_6359135,0.08,0.02,0.08,0.60,1.0117494329585797,0.23951119219482742
"1,4-dichloro-2-phenyl-benzene",mobley_6359156,-2.46,0.03,-2.46,0.10,-14.724611367966144,0.46832018444389995
1-methylpiperidine,mobley_63712,-3.88,0.02,-3.88,0.60,-3.3428737957833836,0.2945063589115125
anthracene,mobley_637522,-3.95,0.03,-3.95,0.60,-17.33505149283846,0.5396680899032534
propylcyclopentane,mobley_6416775,2.13,0.02,2.13,0.60,0.09654392498737718,0.25342792613819226
propylbenzene,mobley_6430250,-0.53,0.02,-0.53,0.60,-6.024550356472154,0.35263128582836617
isobutyl 2-methylpropanoate,mobley_6456034,-1.69,0.03,-1.69,0.60,NA,NA
pyrrolidine,mobley_646007,-5.48,0.02,-5.48,0.60,7.310711289362424,0.355972505830016
chloroethylene,mobley_6474572,-0.59,0.02,-0.59,0.60,0.8765182468372323,0.23088391430724262
but-2-enal,mobley_6497672,-4.22,0.02,-4.22,0.60,NA,NA
"2-chloro-1-(2,4-dichlorophenyl)ethenyl diethyl phosphate",mobley_6522117,-7.07,0.05,-7.07,1.37,NA,NA
1-methylcyclohexene,mobley_6571751,0.67,0.02,0.67,0.60,-0.15576461794122753,0.31413471237081636
ethyl pentanoate,mobley_6619554,-2.49,0.03,-2.49,0.60,-15.376223672812346,0.41547046393610426
carbofuran,mobley_6620221,-9.61,0.04,-9.61,0.30,-36.25898704987371,0.6228632374675867
propanal,mobley_6632459,-3.43,0.02,-3.43,0.60,-8.961855553749102,0.3419077838584539
diiodomethane,mobley_664966,-2.49,0.02,-2.49,0.60,-2.374746419874324,0.2550665047306015
"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",mobley_667278,-4.40,0.08,-4.40,0.10,-14.461981072537977,0.4851531240281579
"3,5-dichloro-2,6-dimethoxyphenol",mobley_6688723,-6.44,0.02,-6.44,0.38,-27.113768114076947,0.5875139179049987
methanamine,mobley_6714389,-4.55,0.01,-4.55,0.60,-1.544969390218543,0.3282990793587812
2-(nitrooxy)ethan-1-ol,mobley_6727159,-8.18,0.03,-8.18,0.10,-16.471146228660604,0.41377875432579847
chlordane,mobley_6733657,-3.44,0.03,-3.44,0.10,-74.97947898769638,0.377999653872964
"1,4-dioxane",mobley_6739648,-5.06,0.02,-5.06,0.60,0.5968360158302355,0.2937603891062329
"3,4-dimethylphenol",mobley_6743808,-6.50,0.03,-6.50,0.60,-2.244141683690115,0.4192405466149124
tetrafluoromethane,mobley_676247,3.12,0.01,3.12,0.60,2.456754841208142,0.21478004419274785
1-(4-pyridyl)ethanone,mobley_6794076,-7.62,0.03,-7.62,0.60,-14.288907877584705,0.390572778144017
"1,2,4,5-tetrachlorobenzene",mobley_6804509,-1.34,0.02,-1.34,0.60,-3.340235680594127,0.36188343668741707
hexane,mobley_6812653,2.48,0.02,2.48,0.60,2.632796768280083,0.3161738711646016
"1,2,2-trifluoroethoxybenzene",mobley_6843802,-1.29,0.02,-1.29,0.60,-8.04023188565727,0.47644301124754973
isopropyl formate,mobley_6854178,-2.02,0.02,-2.02,0.60,NA,NA
fenuron,mobley_6861308,-9.13,0.04,-9.13,1.93,-25.58024379547432,0.6319639400957423
3-methylheptane,mobley_6896128,2.97,0.03,2.97,0.60,1.5191197883361052,0.366368241422791
methoxyethane,mobley_6911232,-2.10,0.02,-2.10,0.60,2.4294491215108485,0.3271372741791253
2-methoxyethanamine,mobley_6917738,-6.55,0.03,-6.55,0.60,-12.451440531774612,0.418788957644356
methyl 2-chloroacetate,mobley_6929123,-4.00,0.02,-4.00,0.60,-12.392514287659901,0.32637933756176457
"(3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate",mobley_6935906,-2.49,0.02,-2.49,0.85,-14.289780169826074,0.5296952504965561
ethyl acetate,mobley_6973347,-2.94,0.02,-2.94,0.60,-4.853611900311605,0.3719359513404767
methyl cyclohexanecarboxylate,mobley_6978427,-3.30,0.02,-3.30,0.60,-23.407093408549667,21.276592633654232
isopropyl acetate,mobley_6981465,-2.64,0.03,-2.64,0.60,NA,NA
2-ethylpyridine,mobley_6988468,-4.33,0.02,-4.33,0.60,-10.529644547755124,0.35892215273375205
"3,5-dimethylphenol",mobley_7009711,-6.27,0.03,-6.27,0.60,NA,NA
cyclohexanol,mobley_7010316,-5.46,0.02,-5.46,0.60,-3.5336297710253723,0.3907873617413445
methoxymethane,mobley_7015518,-1.91,0.02,-1.91,0.60,-0.14162743514614937,0.26853144255645656
phenanthrene,mobley_7017274,-3.88,0.03,-3.88,0.60,-31.224033886672352,0.6163506329057648
naphthalen-1-ol,mobley_7039935,-7.67,0.03,-7.67,0.60,-19.598871562710485,0.6857967080152664
2-chloro-2-methyl-propane,mobley_7047032,1.09,0.02,1.09,0.60,4.7157472981861535,0.2885091215928291
4-chlorophenol,mobley_7066554,-7.03,0.02,-7.03,0.60,-1.0152377618593382,0.4679429227297265
3-chloroprop-1-ene,mobley_7099614,-0.57,0.02,-0.57,0.60,-0.2925429944885358,0.27164194044099776
isohexane,mobley_7106722,2.51,0.02,2.51,0.60,2.9305724538644053,0.3232958821581694
pentan-1-amine,mobley_7142697,-4.09,0.02,-4.09,0.60,-23.68128002204268,5.603790926759007
"1,4-dibromobenzene",mobley_7150646,-2.30,0.02,-2.30,0.60,-4.538833343538005,0.28573549997261577
1-chloroheptane,mobley_7157427,0.29,0.03,0.29,0.60,-0.5676574784406543,0.35773571538641136
trifluralin,mobley_7176248,-3.25,0.04,-3.25,0.10,NA,NA
3-nitrophenol,mobley_7176290,-9.62,0.03,-9.62,0.60,-12.799072653070565,0.44578244910901954
heptan-1-amine,mobley_718988,-3.79,0.03,-3.79,0.60,-5.017245309897671,0.41567571415753085
2-fluorophenol,mobley_7200804,-5.29,0.03,-5.29,0.60,NA,NA
hexanamide,mobley_7203421,-9.31,0.03,-9.31,0.60,NA,NA
pentan-3-ol,mobley_7227357,-4.35,0.02,-4.35,0.60,-5.545053759520599,0.338099957690639
1-chlorodibenzo-p-dioxin,mobley_7239499,-3.52,0.02,-3.52,0.10,-19.737972002356244,0.5387065488441478
hydrazine,mobley_7261305,-9.30,0.02,-9.30,0.60,-4.157650932405026,0.30820491744380396
anisole,mobley_7295828,-2.45,0.02,-2.45,0.60,-6.690962477577667,0.28685586296227406
1-methyl-3-nitro-benzene,mobley_7298388,-3.45,0.02,-3.45,0.60,-14.897953649545336,0.3990092504203335
chlorpyrifos,mobley_7326706,-5.04,0.04,-5.04,0.21,NA,NA
propan-2-ol,mobley_7326982,-4.74,0.02,-4.74,0.60,8.689632589618984,0.33996739584825525
"1,1,1-trifluoro-2,2,2-trimethoxyethane",mobley_7360181,-0.80,0.05,-0.80,0.20,NA,NA
"3,5,5-trimethylcyclohex-2-en-1-one",mobley_7364468,-5.18,0.03,-5.18,1.37,3.498165624718169,0.47516116976120004
undecan-2-one,mobley_7375018,-2.15,0.03,-2.15,0.60,-7.4919122401051945,0.5100655644839714
caffeine,mobley_7378987,-12.64,0.07,-12.64,0.74,-138.33137097475822,0.6311778584769777
methyl 4-methoxybenzoate,mobley_7393673,-5.33,0.03,-5.33,0.60,-40.448841134513145,0.7085051142829922
"N,N-dimethyl-4-nitro-benzamide",mobley_7415647,-11.95,0.04,-11.95,0.60,-64.25683522170951,0.7847751814139685
2-ethoxyethyl acetate,mobley_7417968,-5.31,0.02,-5.31,0.10,-10.329269716615837,0.4693436040742509
isobutyl formate,mobley_7455579,-2.22,0.02,-2.22,0.60,-10.645612122958637,0.4240654779472845
"N-(3,4-dichlorophenyl)propanimidic acid",mobley_7463408,-7.78,0.04,-7.78,1.93,-8.669992557424724,0.5881993718515719
3-phenylpropan-1-ol,mobley_7463799,-6.92,0.03,-6.92,0.60,1.8455608581063707,0.5375780458014263
1-phenylethanone,mobley_7497999,-4.58,0.03,-4.58,0.60,-23.53890699572879,0.5646146151064133
acetonitrile,mobley_7532833,-3.88,0.01,-3.88,0.60,-2.1320153679603218,0.23567415457315416
1-propoxypropane,mobley_7542832,-1.16,0.02,-1.16,0.60,-4.3480207334317855,0.3449304475697055
3-methoxyaniline,mobley_755351,-7.29,0.03,-7.29,0.60,NA,NA
propyl acetate,mobley_7573149,-2.79,0.02,-2.79,0.60,-7.449312800186816,0.4419987416266492
bromoform,mobley_7578802,-2.13,0.02,-2.13,0.60,-0.5997079384592684,0.2674661442813088
bromobenzene,mobley_7599023,-1.46,0.02,-1.46,0.60,-3.2774441158223233,0.313615210722514
methyl octanoate,mobley_7608435,-2.04,0.03,-2.04,0.60,-21.751000357995554,0.502692232954448
chlorobenzene,mobley_7608462,-1.12,0.02,-1.12,0.60,-1.5268495296377922,0.2726414617356002
2-methylpentan-3-ol,mobley_7610437,-3.88,0.03,-3.88,0.60,-11.129416876905138,0.4195973291142358
"1,1,2-trichloroethylene",mobley_766666,-0.44,0.02,-0.44,0.60,0.4947161469665651,0.26871864376151167
6-isopropyl-3-methyl-1-cyclohex-2-enone,mobley_7676709,-4.51,0.02,-4.51,0.10,-12.502717553894083,0.4093398314947662
3-hydroxybenzaldehyde,mobley_7688753,-9.52,0.03,-9.52,1.90,-13.71014015024737,0.430401058600593
methyldisulfanylmethane,mobley_7690440,-1.83,0.02,-1.83,0.60,-0.3626435906671549,0.2709968390884561
1-bromopropane,mobley_7708038,-0.56,0.02,-0.56,0.60,0.879318458753466,0.25143117469035225
bromo-trifluoro-methane,mobley_7732703,1.79,0.02,1.79,0.60,2.6697560392079662,0.26201334603510396
imidazole,mobley_7735340,-9.63,0.03,-9.63,0.60,-4.931207742756489,0.3162001473153321
ethion,mobley_7754849,-6.10,0.05,-6.10,1.37,NA,NA
propionic acid,mobley_7758918,-6.46,0.03,-6.46,0.60,-11.76636153906339,0.3126543809546483
