nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),incertesa calculada (kcal/mol),resultats experimentals (AMBER/GAFF) (kcal/mol),incertesa experimental (kcal/mol),metode 1 (kcal/mol),incertesa metode 1 (kcal/mol),metode 2 (kcal/mol),incertesa metode 2 (kcal/mol)
"1,1-difluoroethane",mobley_3370989,-0.11,0.02,-0.11,0.60,-0.903967748949812,0.24541529312149607,0.5300895865300199,0.3312917445984713
5-fluorouracil,mobley_337666,-16.92,0.06,-16.92,0.88,6.764641959091293,0.5001429125226099,-33.37862222955067,2.569829981276538
nonan-1-ol,mobley_3378420,-3.88,0.03,-3.88,0.60,-4.463965004520704,0.6345210101452563,-0.48953457587235016,0.5143294051638099
tetrahydropyran,mobley_3395921,-3.12,0.02,-3.12,0.60,-3.246852781713094,0.29088076817111563,-1.9085888947213527,0.331905884597727
iodobenzene,mobley_3398536,-1.74,0.02,-1.74,0.60,-1.627387806320989,0.2759441119451852,-2.336775600472016,0.31910368913466747
2-methylpentan-2-ol,mobley_3414356,-3.92,0.02,-3.92,0.60,5.7822196508523955,0.37046368359216875,1.2682682539484453,0.4373590722902294
chloro-fluoro-methane,mobley_3425174,-0.77,0.01,-0.77,0.60,-0.56271740884892,0.20755869267535576,0.29726184132226807,0.24527887564599618
"1,2,3-trimethylbenzene",mobley_3452749,-1.21,0.02,-1.21,0.60,-5.20291247617531,0.4079143296300249,-6.467472381225872,0.43530236042640374
1-(p-tolyl)ethanone,mobley_349850,-4.70,0.03,-4.70,0.60,-19.04940750602136,0.46890045169613137,-17.526174365511622,0.5857993041352197
2-methoxyphenol,mobley_3515580,-5.94,0.02,-5.94,0.10,-18.899665356921503,0.5518957868280707,-7.725640687373695,0.6656718122521535
pentylbenzene,mobley_3525176,-0.23,0.03,-0.23,0.60,-4.4388245099505195,0.5017365140162293,-6.048827998514961,0.5019669358619963
hexan-1-ol,mobley_3546460,-4.40,0.02,-4.40,0.60,-3.087662084398993,0.4192101470904451,-4.059258178637208,0.4060596236144876
pentyl propanoate,mobley_3572203,-2.11,0.03,-2.11,0.60,-21.593806882225966,0.43732479521263296,-12.91042715935501,0.46488752538981076
heptan-2-one,mobley_3573480,-3.04,0.02,-3.04,0.60,-5.695232875155301,0.3694767911140087,-5.522277223045402,0.42244925520550963
octan-1-ol,mobley_36119,-4.09,0.03,-4.09,0.60,-1.072182824285523,0.4430615469775512,0.6794895556862985,0.4980059454374171
1-chlorobutane,mobley_3639400,-0.16,0.02,-0.16,0.60,2.310400564611238,0.2701978407116422,2.564261152203047,0.3123977069020705
naphthalen-2-ol,mobley_3663158,-8.11,0.03,-8.11,0.60,-6.073607042346955,0.4891558686339509,-11.955306236435868,0.6094962287175997
cyclohexanone,mobley_3682850,-4.91,0.02,-4.91,0.60,-9.882241917590838,0.32481685884102257,-3.6291306251593207,0.38563978254425085
"1,1-diethoxyethane",mobley_3686115,-3.28,0.08,-3.28,0.20,-8.467477640489786,0.43200285962064844,-9.160205930107773,0.45476215029769723
propyl butanoate,mobley_3690931,-2.28,0.03,-2.28,0.60,-18.52382644945463,0.409761248672198,-14.003470009718992,0.5414445429868991
non-1-ene,mobley_3709920,2.06,0.03,2.06,0.60,-0.34799433749300945,0.3856454568505166,1.6532342226210472,0.42770745637439656
"1,4-dimethylnaphthalene",mobley_3715043,-2.82,0.03,-2.82,0.60,-17.34264324627299,0.40630984659925384,-15.508018447092514,0.47343617782119596
quinone,mobley_3727287,-6.50,0.10,-6.50,0.20,-18.65294867940606,0.3969234719371118,17.851845634627452,0.7199791129296494
1-bromo-pentane,mobley_3738859,-0.10,0.10,-0.10,0.20,-0.8719930465827693,0.3075447760224436,0.8483509853698437,0.3266244495527298
isopropenylbenzene,mobley_3746675,-1.24,0.02,-1.24,0.60,-8.326728037580214,0.4836164423509419,-8.9195463620837,0.4139776948034012
"1,1,1-trichloroethane",mobley_3761215,-0.19,0.02,-0.19,0.60,1.0744229842797837,0.2458312995129016,0.13522248817693044,0.30884290512009516
dichloromethane,mobley_3762186,-1.31,0.01,-1.31,0.60,1.2750686387150048,0.23803957030516906,2.3471228988680553,0.244999854239612
1-methylpyrrole,mobley_3775790,-2.89,0.02,-2.89,0.60,6.387044001568099,0.30758617287689277,0.5794566707101698,0.3430892990435974
hexyl nitrate,mobley_3802803,-1.66,0.02,-1.66,0.10,-6.46519116204267,0.33897447716309603,-1.7153279275887092,0.442915245686723
acetone,mobley_3867265,-3.80,0.02,-3.80,0.60,-0.05528214312452617,0.30946044189178656,-1.3234884863945342,0.3567560706138576
cyclopentanone,mobley_3968043,-4.70,0.02,-4.70,0.60,-8.07596737426043,0.34385713862484196,-3.590359903027977,0.3278474959913861
methyl benzoate,mobley_3968739,-3.92,0.03,-3.92,0.60,-37.826391063455475,0.48448171169114057,-29.96135016010037,0.4868737999799503
benzaldehyde,mobley_3969312,-4.02,0.02,-4.02,0.60,-18.821120975021685,0.36471854086112315,-16.825537827383258,0.42155751167490424
ethyl benzoate,mobley_397645,-3.64,0.02,-3.64,0.60,-38.995607628475526,0.6220750522626957,-29.329943474246786,0.48780975626526274
"1,2,3,4,7-pentachlorodibenzo-p-dioxin",mobley_3976574,-4.15,0.03,-4.15,1.00,-12.862151740216579,0.415421075075292,-3.140350766379462,0.48710385400256634
"1,2,3-trichlorobenzene",mobley_3980099,-1.24,0.02,-1.24,0.60,-3.4411316479407783,0.34237090738154996,-1.7012025962559414,0.3848327030543871
methyl acetate,mobley_3982371,-3.13,0.02,-3.13,0.60,-10.37966436345146,0.34633427894894164,-4.587372996031101,0.35476141752476115
"1,1-dichloroethane",mobley_3999471,-0.84,0.02,-0.84,0.60,-0.23633722746735464,0.20433294638719224,1.5596602833479511,0.3008578032373666
"2,4-dimethylpentan-3-one",mobley_4013838,-2.74,0.02,-2.74,0.60,-30.494369964268262,0.40704916613935077,-12.5163830315818,0.43216875820787337
o-cresol,mobley_4035953,-5.90,0.10,-5.90,0.20,-14.120931919304034,0.3737434242292661,-7.3334445184413894,0.4459816726168067
5-bromouracil,mobley_4039055,-18.17,0.06,-18.17,0.55,7.085601055249555,0.8336288257118087,-50.73700206467203,0.6019753418983315
pent-1-ene,mobley_4043951,1.68,0.02,1.68,0.60,2.673461861919687,0.30874927918666073,3.2443172922912478,0.3060429962238073
2-methylhexane,mobley_4043987,2.93,0.03,2.93,0.60,2.2420758870928097,0.3200286131832237,-0.007962291299666635,0.3319570985553095
"1,4-dimethylpiperazine",mobley_4059279,-7.58,0.03,-7.58,0.60,-0.6318467534400263,0.42821945392848154,5.952623275967321,0.5318809187374544
"2,7-dichlorodibenzo-p-dioxin",mobley_4149784,-3.67,0.02,-3.67,0.12,-12.796712808876851,0.5050905315366699,-2.0644736135491364,0.5465624608190267
"2,3,4-trimethylpentane",mobley_4177472,2.56,0.03,2.56,0.60,-4.042761557432951,0.29071000130196456,-0.8486208758999716,0.43423036296733786
"N,N-dimethylbenzamide",mobley_4188615,-9.29,0.04,-9.29,0.60,-50.75229285615926,0.5922265868187722,-31.752687305228463,0.5886000453741475
nitrobenzene,mobley_4193752,-4.12,0.02,-4.12,0.60,-16.20086762354653,0.3139495209476721,-16.4933922225912,0.32601703191466536
"1,2,3,4-tetrachlorobenzene",mobley_4219614,-1.34,0.02,-1.34,0.60,-4.665886428276146,0.3400996017577344,-2.7992461019556147,0.33793886918117455
isobutylbenzene,mobley_4252724,0.16,0.02,0.16,0.60,-8.28427168627816,0.38441872135715033,-9.603401750701924,0.5056962947806999
2-methylpyridine,mobley_4287564,-4.63,0.02,-4.63,0.60,-2.347702220099613,0.3103839681836972,-3.5260548649045123,0.37834452880875735
2-chloropyridine,mobley_4291494,-4.39,0.02,-4.39,0.60,-3.118171804230121,0.3476251717188533,-3.934722338738788,0.40533783913825466
pent-1-yne,mobley_430089,0.01,0.02,0.01,0.60,2.4655000760904695,0.24104225975335294,2.6767733113297236,0.3413920481690434
propanenitrile,mobley_4305650,-3.84,0.02,-3.84,0.60,-5.919656444114454,0.26996237854946425,-1.8292530040335748,0.31017316897659186
6-chlorouracil,mobley_4338603,-15.83,0.06,-15.83,1.22,22.233331354652805,0.519204020775739,-29.07066064664476,4.639655656203398
iodomethane,mobley_4364398,-0.89,0.01,-0.89,0.60,-1.180280573686447,0.21765499200684932,1.2253768045064564,0.2716145709628094
nonane,mobley_4375719,3.13,0.03,3.13,0.60,2.7689366111228866,0.33976950464049205,2.4848845181981836,0.45487188749414575
4-chloro-3-methyl-phenol,mobley_4395315,-6.79,0.03,-6.79,0.60,-0.316159070827541,0.4787531384832724,-0.4524878444796916,0.444929930967698
chloromethane,mobley_4434915,-0.55,0.01,-0.55,0.60,1.5686722631012033,0.28051965658351696,1.184274936419696,0.20676929090726626
1-acetoxyethyl acetate,mobley_4463913,-4.97,0.10,-4.97,0.60,-23.19977686816651,1.6390647200535764,-40.362142970975746,12.328053811306377
"(Z)-1,2-dichloroethylene",mobley_4465023,-1.17,0.02,-1.17,0.60,-0.29322680265278545,0.2769144482704849,0.261771089914107,0.30429315579598637
"1,1-diphenylethene",mobley_4479135,-2.78,0.02,-2.78,0.10,-28.899039622590564,0.705982506096441,-21.003924263824082,0.6841856811693315
fluorobenzene,mobley_4483973,-0.80,0.02,-0.80,0.60,-4.408107061638782,0.24637262954862496,-1.2212809606101132,0.33481599256005834
1-bromo-4-methyl-benzene,mobley_4494568,-1.39,0.02,-1.39,0.60,-2.6836915914931136,0.32790578331120274,0.6331495364280189,0.3827008413131289
"2-bromo-2-chloro-1,1,1-trifluoro-ethane",mobley_4506634,-0.11,0.02,-0.11,0.60,-1.9064908483069938,0.27091292693465574,0.14577285016514985,0.29607107245526215
"1,4-dichlorobenzene",mobley_4553008,-1.01,0.02,-1.01,0.60,-3.166878144519237,0.32232005651689877,0.2856236260694405,0.3418817214609038
"2,3-dimethylbutane",mobley_4561957,2.34,0.02,2.34,0.60,-0.05846847468270622,0.2567417706848019,1.4818809101941421,0.3085847980676034
"2,6-dimethylpyridine",mobley_4584540,-4.59,0.02,-4.59,0.60,1.1721217931666956,0.37939206859412866,-4.532943646842009,0.41265565996973613
1-chloro-2-(2-chloroethoxy)ethane,mobley_4603202,-4.23,0.01,-4.23,0.20,1.8195620013678149,0.3252591235427465,1.8843442304035287,0.37112426263804016
ethyl paraben,mobley_4609460,-9.20,0.06,-9.20,0.30,-36.41442407688095,9.646710194081129,-34.7869498038593,0.796206235857382
1-benzylimidazole,mobley_4613090,-7.63,0.02,-7.63,0.12,-10.687935202659649,0.4434645583165858,-14.572003547716678,0.5769384779681603
methyl cyclopropanecarboxylate,mobley_4620651,-4.10,0.04,-4.10,0.60,81.48892315771211,27.51629727188247,99.26726926388862,0.7624646550963894
"1,2-dimethoxyethane",mobley_4630641,-4.84,0.02,-4.84,0.60,-1.139673208348131,0.31549085192154347,1.7878479371778937,0.45094094614518404
ethylene glycol,mobley_4639255,-9.30,0.03,-9.30,0.60,10.478038275243097,1.4014810537803408,12.492505553737807,0.548017920100214
4-propylphenol,mobley_4683624,-5.21,0.02,-5.21,0.69,-4.9990765310712355,0.5497003279254609,-4.043229931417912,0.5799179225479543
2-propoxyethanol,mobley_4687447,-6.40,0.03,-6.40,0.60,-6.534935844017731,0.5166516896530203,3.6448770191336735,0.49205212156234784
heptachlor,mobley_468867,-2.55,0.03,-2.55,0.10,-10.301356332304993,0.387888915388795,-8.153407539044846,0.5232995162715871
2-acetoxyethyl acetate,mobley_4689084,-6.34,0.06,-6.34,0.20,-22.07131834918112,0.579099703903339,-18.406580108383064,12.090723377588626
"1,2-diethoxyethane",mobley_4690963,-3.54,0.03,-3.54,0.60,-0.8058089255733325,0.42664126648358125,1.7435910604865246,0.5000447159875742
octanal,mobley_4694328,-2.29,0.03,-2.29,0.60,-3.917011839555483,0.3889151492701716,-3.6267076795179647,0.4914927370434614
"1,2-dimethylcyclohexane",mobley_4715906,1.58,0.02,1.58,0.60,-2.9639623883016593,0.34126420535001334,2.7926691839919804,0.46272684704377687
1-iodoheptane,mobley_4759887,0.27,0.03,0.27,0.60,-0.6695686253409096,0.3703905073507591,2.0143905314717525,0.4382796537918202
hept-1-ene,mobley_4762983,1.66,0.02,1.66,0.60,0.8298135033537424,0.34200255594998535,-0.4842642765335454,0.35629823865437105
pentanoic acid,mobley_4792268,-6.16,0.06,-6.16,0.60,-6.909981352580184,0.37355432304194497,-9.674730103349592,0.42922172641189865
hexachlorobenzene,mobley_4845722,-2.33,0.04,-2.33,1.16,-6.5764730156875455,0.31011701137499526,-0.8907891806357666,0.4809050553644753
methanesulfonyl chloride,mobley_4850657,-4.87,0.02,-4.87,0.60,-4.71144839090095,0.35660082706997676,-2.2708572799657665,0.4659052098578193
"2,6-dimethoxyphenol",mobley_486214,-6.96,0.02,-6.96,0.10,-22.282385384266618,0.58856832505745,1.663413380527647,0.6865302005684197
3-ethylpyridine,mobley_4884177,-4.59,0.02,-4.59,0.60,-11.152087481347735,0.37247050313925384,-8.285398770594213,0.42572903382401467
pentanenitrile,mobley_4893032,-3.52,0.02,-3.52,0.60,-4.764835066460728,0.33628181512848626,-2.195107347577715,0.3779304344380378
isopentyl formate,mobley_4924862,-2.13,0.02,-2.13,0.60,-9.091301407946492,0.39807773789971607,-10.158165395777944,0.41083715063813303
hept-1-yne,mobley_49274,0.60,0.02,0.60,0.60,-0.653873573601002,0.34929444995089687,-1.001418497405111,0.36414489271716394
diethoxymethoxybenzene,mobley_4934872,-5.23,0.04,-5.23,0.60,-27.075075203725234,1.1388480979654803,-42.41142550355093,0.6774256746525591
nitroxyacetone,mobley_4964807,-5.99,0.02,-5.99,0.10,-14.350020779918438,0.3789635296734459,-2.1845538120649266,0.45596641295761386
ethylsulfanylethane,mobley_4983965,-1.46,0.02,-1.46,0.60,1.549343864323348,0.2787496646390627,2.230550598672022,0.34681945656315366
4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde,mobley_5006685,-4.09,0.02,-4.09,0.17,-18.6958365525758,0.3937386028029208,-13.85805990164275,0.46941356584281757
pyridine-4-carbonitrile,mobley_5026370,-6.02,0.02,-6.02,0.60,-5.281340600831804,0.37233238369366467,3.4469945057378872,0.36419024634922403
1-propylsulfanylpropane,mobley_5052949,-1.28,0.02,-1.28,0.60,-2.4984639792245984,0.2948529715409879,2.945491658795543,0.4305072250521279
2-methyltetrahydrofuran,mobley_5056289,-3.30,0.02,-3.30,0.60,-0.47495593992279495,0.30719776594293,0.5083700764120983,0.3695597813218109
2-nitrophenol,mobley_5063386,-4.58,0.03,-4.58,0.60,-21.860670650870734,0.45173387354526495,-26.956240515915923,0.5810973009022062
heptan-1-ol,mobley_5079234,-4.21,0.02,-4.21,0.60,-1.8416284714295075,0.4106499337037078,-3.3561502852880407,0.4814674766797673
indane,mobley_5094777,-1.46,0.02,-1.46,0.60,-6.474165874554677,0.4015310619017965,-4.078862822796641,0.4137784963217338
"2,6-dimethylnaphthalene",mobley_5110043,-2.63,0.03,-2.63,0.60,-7.313534472748354,0.4225319415409442,-3.077105827887362,0.4507485397284878
butadiene,mobley_511661,0.56,0.10,0.56,0.20,3.9150557063460822,0.29291547333072915,5.520228316831561,0.32223041051661794
4-methylpentan-2-ol,mobley_5123639,-3.73,0.02,-3.73,0.60,4.116491510288423,0.42504324242829783,-3.539177917083027,0.4288654616125699
isobutane,mobley_5157661,2.30,0.10,2.30,0.20,4.559136165725308,0.263232783090907,3.0571284659238565,0.2856192072365004
aldicarb,mobley_5200358,-9.84,0.05,-9.84,0.10,-42.04684347808422,0.5785535545532342,-10.434096529917337,0.5173511331338815
2-ethylpyrazine,mobley_5220185,-5.45,0.03,-5.45,0.60,-13.66527961334775,0.36337797686148665,-5.441002898220728,0.43461366827081077
methanethiol,mobley_525934,-1.20,0.10,-1.20,0.20,-1.7010479117642245,0.22052726223915614,0.7518715318741946,0.2476847426644953
1-ethylnaphthalene,mobley_5263791,-2.40,0.03,-2.40,0.60,-16.828185662415475,0.45189522902053364,-13.659379146426206,0.5860489589013538
"1,2-dinitroxyethane",mobley_52782,-5.73,0.02,-5.73,0.10,-16.100140640434176,0.4008003048375924,-3.4685676726883266,0.40416424907772985
"1,4-dichlorobutane",mobley_5286200,-2.32,0.02,-2.32,0.60,-3.136219885545516,0.3306998337383404,1.1034278501067019,0.3942607060300143
hex-1-ene,mobley_5310099,1.58,0.02,1.58,0.60,0.24251308773548264,0.27523004495852577,2.893816899196266,0.38179012878882895
phenylmethanol,mobley_5311804,-6.62,0.03,-6.62,0.60,-4.885095132246018,0.44119759503382155,2.1708031281651463,0.5514814882342519
"N,N-dimethylaniline",mobley_5326154,-3.45,0.02,-3.45,0.60,-6.910325599612298,0.4047195308231297,-2.9911964065638896,0.4089044247923118
"3,3-dimethylbutan-2-one",mobley_5346580,-3.11,0.02,-3.11,0.60,-24.499420501744563,0.3661159020661758,-8.537526702094935,0.402177193510137
"2,2-dichloro-1,1-difluoro-1-methoxy-ethane",mobley_5347550,-1.12,0.02,-1.12,0.60,-6.578379336510072,0.33307047838283477,-2.463642419506959,0.3547480219373966
2-chlorodibenzo-p-dioxin,mobley_5371840,-3.10,0.02,-3.10,0.10,-16.70649485752212,0.585944595281906,0.3175410523279263,0.48755315891646905
cumene,mobley_5445548,-0.30,0.02,-0.30,0.60,-6.64554513069457,0.40475550237884156,-7.531525555301482,0.41966595986765004
n-pentane,mobley_5449201,2.30,0.10,2.30,0.20,2.4099719744280703,0.2564650315952556,2.36442649509917,0.2807784243476246
"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",mobley_5456566,-2.98,0.06,-2.98,1.00,-15.487922564133743,16.676957517990818,-7.654341129070531,17.071659074004973
4-tert-butylphenol,mobley_5467162,-5.91,0.04,-5.91,0.60,-12.537390457502646,0.5084267610377347,-13.952525298496285,0.7373596715050504
isopentyl acetate,mobley_5471704,-2.21,0.03,-2.21,0.60,-9.367557291670765,0.4507675324344879,-8.009709840464485,0.4828747014621909
"1,1,2,3,3,3-hexafluoroprop-1-ene",mobley_5494918,2.93,0.02,2.93,0.60,-0.4926393194071004,0.261529286168859,-7.454932071198151,0.32128641428020177
1-methylimidazole,mobley_5499659,-8.41,0.03,-8.41,0.60,-6.506332583996466,0.3852884366519921,-2.931985806988283,0.3821718588375742
"1,2,3,4-tetrachlorodibenzo-p-dioxin",mobley_5510474,-3.81,0.03,-3.81,0.14,-12.025039884218454,0.3652396022346414,-3.3421628875690366,0.5102227526536364
benzenethiol,mobley_5520946,-2.55,0.02,-2.55,0.60,-0.941464709195472,0.3642121306656502,-0.7812001022293327,0.3468077020909338
"1,3,5-trichloro-2-phenyl-benzene",mobley_5538249,-2.16,0.03,-2.16,0.10,-12.63368717269613,0.38807127305471023,-13.736841904828115,0.46133713858073433
"1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene",mobley_5561855,-1.96,0.04,-1.96,0.10,-10.533452826126656,9.190071137556638,-7.846664881423652,0.6844262711161165
"4-methoxy-N,N-dimethyl-benzamide",mobley_5600967,-11.01,0.04,-11.01,0.60,-46.05961109633808,0.6077930924105873,-43.63531819916434,0.6033829570234831
2-methylpropanal,mobley_5627459,-2.86,0.02,-2.86,0.60,-14.628655660791928,0.32273341093658614,-4.1460724543423915,0.3946201320632652
ammonia,mobley_5631798,-4.29,0.01,-4.29,0.60,-1.215893030348167,0.33407333029275543,-1.3118358908580037,0.26439237908992314
"1,3-dimethylnaphthalene",mobley_5665561,-2.47,0.03,-2.47,0.60,-9.862046340561186,0.4539472566201558,-8.203781248947013,0.5245186600893845
"hexa-1,5-diene",mobley_5690766,1.01,0.02,1.01,0.60,-2.4213900940744724,0.3051562191540865,-1.049720661490369,0.36554586228114966
N-methylmethanamine,mobley_5692472,-4.29,0.02,-4.29,0.60,-2.4851336790601897,0.3131559312572799,-1.0941796512543716,0.32787044186938136
dicamba,mobley_5708811,-9.86,0.04,-9.86,1.93,-27.822777124856636,0.8705121995938944,-52.263968562093304,0.6367855775741372
4-methyl-1H-imidazole,mobley_5732611,-10.27,0.03,-10.27,0.60,-3.8959219409078876,0.40550758870880527,-4.0630059543624375,0.40182135624272
1-methyl-2-nitro-benzene,mobley_5747188,-3.58,0.02,-3.58,0.60,-10.47669869761038,0.3835529465384493,-11.922523640807318,0.4518401287125054
pentan-1-ol,mobley_5759258,-4.57,0.02,-4.57,0.60,-1.7222377310277717,0.42693601334724673,-0.4797235396488526,0.4206392414569095
dimethyl sulfate,mobley_5760563,-5.10,0.02,-5.10,0.60,-48.29497226504221,0.4742175314769141,-22.91120692405348,0.44741782765789007
2-methoxyethanol,mobley_5816127,-6.62,0.03,-6.62,0.40,-4.829396680620441,0.37870172759812754,8.207889210149487,1.1221001268679909
methylcyclopentane,mobley_5852491,1.59,0.02,1.59,0.60,3.337572501611157,0.2691168603799784,4.123360032907371,0.3170609256956021
quinoline,mobley_5857,-5.72,0.02,-5.72,0.60,-17.704613169468345,0.3981815596633909,-10.082827738110566,0.43165799853615466
2-butoxyethanol,mobley_5880265,-6.25,0.03,-6.25,0.60,2.096184059684713,0.6305693103299693,14.89293436309626,0.6515663503158095
hexylbenzene,mobley_588781,-0.04,0.03,-0.04,0.60,-8.397512345130899,0.43969363157734465,-5.56378287567422,0.485661217447616
propyl propanoate,mobley_5890803,-2.44,0.02,-2.44,0.60,-20.751704580096995,0.4285255245084389,-10.273431971801566,0.42979631884313935
ethyldisulfanylethane,mobley_590519,-1.64,0.02,-1.64,0.60,-1.888364279418637,0.34682849480188466,1.6118283200928403,0.3886211299949314
4-methyl-2-methoxyphenol,mobley_5917842,-5.80,0.02,-5.80,0.10,-17.548179397455595,0.6913889170152059,-6.751510395550188,0.7333284429901914
"2,2-dimethylbutane",mobley_5935995,2.51,0.02,2.51,0.60,5.190730551030358,0.2909183095188279,6.395897800087793,0.35176772959407254
"1,1,2,2-tetrachloroethylene",mobley_5952846,0.10,0.02,0.10,0.60,1.176253431867712,0.2832913573019121,1.871831085961043,0.3066376665496564
3-methylbutan-1-ol,mobley_5973402,-4.42,0.03,-4.42,0.60,2.151637501107807,0.42913899798203753,-3.2132980308459467,0.4222844275345307
3-methylpyridine,mobley_5977084,-4.77,0.02,-4.77,0.60,-12.472419708606921,0.37682742767711247,-2.901094603289061,0.3364579091974336
1-nitrobutane,mobley_6006813,-3.09,0.02,-3.09,0.60,-5.401354210432635,0.35684276938568793,-2.2792675140312766,0.3340854622780408
diflunisal,mobley_6055410,-9.40,0.10,-9.40,0.20,-47.29787306521861,1.8602798085055139,-59.08061702388824,1.3138160300090813
hexan-1-amine,mobley_6060301,-3.95,0.02,-3.95,0.60,-2.138245801695222,0.40886676846707737,-0.05356082947119045,0.5066245472767043
ethylene,mobley_6091882,1.28,0.01,1.28,0.60,2.54726601271672,0.19561373194206777,2.9849277140601953,0.21733360415136613
diphenyl ether,mobley_6102880,-2.87,0.02,-2.87,0.69,-17.809540943014387,0.534980180377851,-21.74473573551649,0.5105473176458719
trimethyl phosphate,mobley_6115639,-8.70,0.06,-8.70,0.10,-63.87899065531658,0.5913597323635468,-33.99714298320919,0.5396786153109651
4-methylbenzaldehyde,mobley_6175884,-4.27,0.03,-4.27,0.60,-15.599463371812096,0.37186224515226673,-17.41050298005728,0.46571952561996455
"1,1,2,2-tetrachloroethane",mobley_6190089,-2.37,0.02,-2.37,0.10,-2.107122564223267,0.30669224399911643,0.9254660865300279,0.37862328103397896
"2,3-diacetoxypropyl acetate",mobley_6198745,-8.84,0.10,-8.84,0.20,-33.31138349948675,0.9612949218857836,-13.163321917645078,3.0986426600087666
pyridine-3-carbaldehyde,mobley_6232400,-7.10,0.03,-7.10,0.60,-18.31155306927347,0.3941753586507285,-33.25716554381608,0.42330301055598124
2-chlorobutane,mobley_6235784,0.00,0.02,0.00,0.60,-1.1369030229548946,0.2980817570236663,119.88722724436373,0.30104768024013673
octan-1-amine,mobley_6248915,-3.65,0.03,-3.65,0.60,-7.211716357245585,0.4754123730991471,-3.5971606774474543,0.505130937317487
1-iodohexane,mobley_6250025,0.08,0.02,0.08,0.60,-0.9749391651295205,0.3127397610073341,0.4708322712777224,0.41993921976402926
azetidine,mobley_6266306,-5.56,0.02,-5.56,0.60,-0.46389965497614927,0.29415201058288865,-2.455686421445171,0.3084428279145343
1-bromo-2-methyl-propane,mobley_627267,-0.03,0.02,-0.03,0.60,-0.10215460578748992,0.2659747959293288,1.31240421017844,0.33293291916071066
"1,1,1-trifluoropropan-2-ol",mobley_628086,-4.16,0.03,-4.16,0.60,-23.435768579799902,0.5821781606322521,-3.9242815425180346,0.5266999980085898
"1,3-dichloro-2-(2,6-dichlorophenyl)benzene",mobley_628951,-2.28,0.04,-2.28,0.12,-16.515237813542583,0.5769312489454251,-14.116387240594653,12.5958485268406
4-ethylpyridine,mobley_6303022,-4.73,0.02,-4.73,0.60,2.6117876426933417,0.3982095330718726,-5.263073967685537,0.4337422896723792
piperidine,mobley_6309289,-5.11,0.02,-5.11,0.60,-2.8953298609558002,0.3203587862138528,-5.648619392724177,0.4139012520762632
1-(4-methoxyphenyl)ethanone,mobley_632905,-4.40,0.03,-4.40,0.60,-29.055178790472187,0.429328788818228,-26.337640552341764,0.5011627132680814
1-(3-pyridyl)ethanone,mobley_6353617,-8.26,0.03,-8.26,0.60,-22.87484145699126,0.40890244461078584,-45.96624692429914,0.47736127427443664
"1,2-bis(trifluoromethyl)benzene",mobley_6358463,1.07,0.03,1.07,0.60,-25.743186156841794,0.4110139755212163,-0.2793830526839898,0.4837607550449837
carbon tetrachloride,mobley_6359135,0.08,0.02,0.08,0.60,2.803584937562262,0.3099875356190839,2.678178887004634,0.28347825977501306
"1,4-dichloro-2-phenyl-benzene",mobley_6359156,-2.46,0.03,-2.46,0.10,-13.832336247604967,0.4954859267891318,-11.092846046817773,0.5237245423501553
1-methylpiperidine,mobley_63712,-3.88,0.02,-3.88,0.60,-3.615588683530656,0.31905961588836634,-3.746048072437385,0.4259830454263235
anthracene,mobley_637522,-3.95,0.03,-3.95,0.60,-18.070197014080343,0.556818125006309,-15.337026264497641,0.6173817929630735
propylcyclopentane,mobley_6416775,2.13,0.02,2.13,0.60,2.725088936288074,0.3455944113504536,3.125667313428896,0.46987936724987633
propylbenzene,mobley_6430250,-0.53,0.02,-0.53,0.60,-7.280071707757457,0.3500458315416148,-4.001361109906206,0.39700652957724497
isobutyl 2-methylpropanoate,mobley_6456034,-1.69,0.03,-1.69,0.60,-34.34507385870936,0.4166200755968077,-12.05893165205259,0.5167902939639692
pyrrolidine,mobley_646007,-5.48,0.02,-5.48,0.60,5.215118817373433,0.31107133795081565,-0.08567892882399097,0.3174463814185965
chloroethylene,mobley_6474572,-0.59,0.02,-0.59,0.60,1.4437402764760368,0.22346935005815896,2.0915637570267442,0.2163805158582508
but-2-enal,mobley_6497672,-4.22,0.02,-4.22,0.60,-3.998111747406658,0.30855775185474266,-3.0115647365898393,0.32980553561677495
1-methylcyclohexene,mobley_6571751,0.67,0.02,0.67,0.60,0.9868961063518595,0.2720678219842717,0.9001580616100986,0.3529116427210678
ethyl pentanoate,mobley_6619554,-2.49,0.03,-2.49,0.60,-15.165573876643048,0.41869865400792844,-18.70675162107218,0.4687706245676789
carbofuran,mobley_6620221,-9.61,0.04,-9.61,0.30,-38.85241914212149,0.570951635072617,-21.718181934824425,0.7686219258594226
propanal,mobley_6632459,-3.43,0.02,-3.43,0.60,-8.997524030807183,0.33430537350820055,-3.6250251592794123,0.3462793517994319
diiodomethane,mobley_664966,-2.49,0.02,-2.49,0.60,-1.0145840891031115,0.24168039381548193,0.8378838731234071,0.2829572329288747
