nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),resultats experimentals (kcal/mol)
pentan-3-ol,mobley_7227357,-4.35,-4.35
1-chlorodibenzo-p-dioxin,mobley_7239499,-3.52,-3.52
hydrazine,mobley_7261305,-9.30,-9.30
anisole,mobley_7295828,-2.45,-2.45
1-methyl-3-nitro-benzene,mobley_7298388,-3.45,-3.45
chlorpyrifos,mobley_7326706,-5.04,-5.04
propan-2-ol,mobley_7326982,-4.74,-4.74
"1,1,1-trifluoro-2,2,2-trimethoxyethane",mobley_7360181,-0.80,-0.80
"3,5,5-trimethylcyclohex-2-en-1-one",mobley_7364468,-5.18,-5.18
undecan-2-one,mobley_7375018,-2.15,-2.15
caffeine,mobley_7378987,-12.64,-12.64
methyl 4-methoxybenzoate,mobley_7393673,-5.33,-5.33
"N,N-dimethyl-4-nitro-benzamide",mobley_7415647,-11.95,-11.95
2-ethoxyethyl acetate,mobley_7417968,-5.31,-5.31
isobutyl formate,mobley_7455579,-2.22,-2.22
"N-(3,4-dichlorophenyl)propanimidic acid",mobley_7463408,-7.78,-7.78
3-phenylpropan-1-ol,mobley_7463799,-6.92,-6.92
1-phenylethanone,mobley_7497999,-4.58,-4.58
acetonitrile,mobley_7532833,-3.88,-3.88
1-propoxypropane,mobley_7542832,-1.16,-1.16
3-methoxyaniline,mobley_755351,-7.29,-7.29
propyl acetate,mobley_7573149,-2.79,-2.79
bromoform,mobley_7578802,-2.13,-2.13
bromobenzene,mobley_7599023,-1.46,-1.46
methyl octanoate,mobley_7608435,-2.04,-2.04
chlorobenzene,mobley_7608462,-1.12,-1.12
2-methylpentan-3-ol,mobley_7610437,-3.88,-3.88
"1,1,2-trichloroethylene",mobley_766666,-0.44,-0.44
6-isopropyl-3-methyl-1-cyclohex-2-enone,mobley_7676709,-4.51,-4.51
3-hydroxybenzaldehyde,mobley_7688753,-9.52,-9.52
methyldisulfanylmethane,mobley_7690440,-1.83,-1.83
1-bromopropane,mobley_7708038,-0.56,-0.56
bromo-trifluoro-methane,mobley_7732703,1.79,1.79
imidazole,mobley_7735340,-9.63,-9.63
ethion,mobley_7754849,-6.10,-6.10
propionic acid,mobley_7758918,-6.46,-6.46
1-bromo-2-chloro-ethane,mobley_7768165,-1.95,-1.95
2-bromo-2-methyl-propane,mobley_7769613,0.84,0.84
N-methylaniline,mobley_7774695,-4.69,-4.69
2-methylbut-2-ene,mobley_778352,1.31,1.31
5-trifluoromethyluracil,mobley_7794077,-15.46,-15.46
"1,2,4-trichlorobenzene",mobley_7814642,-1.12,-1.12
"N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",mobley_7829570,-3.51,-3.51
heptanal,mobley_7859387,-2.67,-2.67
N-butylbutan-1-amine,mobley_7860938,-3.24,-3.24
[(2S)-butan-2-yl] nitrate,mobley_7869158,-1.82,-1.82
tert-butylbenzene,mobley_7893124,-0.44,-0.44
butyl paraben,mobley_7912193,-8.72,-8.72
1-butoxy-2-propanol,mobley_7913234,-5.73,-5.73
ethyl propanoate,mobley_7943327,-2.68,-2.68
hexan-3-ol,mobley_7977115,-4.06,-4.06
2-methylbutan-1-ol,mobley_7983227,-4.42,-4.42
4-hydroxybenzaldehyde,mobley_7988076,-8.83,-8.83
cyclopentane,mobley_8006582,1.20,1.20
"N,N-dimethylformamide",mobley_8011706,-7.81,-7.81
acetamide,mobley_8048190,-9.71,-9.71
"1-amino-9,10-anthracenedione",mobley_8052240,-9.44,-9.44
3-chlorophenol,mobley_8057732,-6.62,-6.62
endrin,mobley_8117218,-4.82,-4.82
prop-2-en-1-ol,mobley_8118832,-5.03,-5.03
alachlor,mobley_8124669,-8.21,-8.21
ethylbenzene,mobley_8127829,-0.79,-0.79
"(2E)-3,7-dimethylocta-2,6-dien-1-ol",mobley_819018,-4.45,-4.45
"2-chloro-1,1,1-trifluoro-ethane",mobley_8191186,0.06,0.06
simazine,mobley_8207196,-10.22,-10.22
butyric acid,mobley_820789,-6.35,-6.35
"1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",mobley_8208692,-4.61,-4.61
butanenitrile,mobley_8221999,-3.64,-3.64
prop-1-yne,mobley_8260524,-0.48,-0.48
"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",mobley_8311303,-4.38,-4.38
chloro-difluoro-methane,mobley_8311321,-0.50,-0.50
1-nitroethane,mobley_8320545,-3.71,-3.71
"(1R,2S,5R)-2-isopropyl-5-methylcyclohexanol",mobley_8337722,-3.20,-3.20
4-methylpentan-2-one,mobley_8337977,-3.05,-3.05
N-ethylethanamine,mobley_8426916,-4.07,-4.07
propionamide,mobley_8427539,-9.40,-9.40
"2,4-dimethylpentane",mobley_8436428,2.83,2.83
"N,N-diethylethanamine",mobley_8449031,-3.22,-3.22
hept-2-ene,mobley_8467917,1.68,1.68
pentanal,mobley_8492526,-3.03,-3.03
pentyl acetate,mobley_8514745,-2.51,-2.51
oct-1-yne,mobley_8522124,0.71,0.71
1-iodopentane,mobley_8525830,-0.14,-0.14
4-fluorophenol,mobley_852937,-6.19,-6.19
4-methylmorpholine,mobley_8558116,-6.32,-6.32
butanal,mobley_8573194,-3.18,-3.18
methylsulfinylmethane,mobley_8578590,-9.28,-9.28
isobutyl acetate,mobley_859464,-2.36,-2.36
heptane,mobley_8614858,2.67,2.67
"2,3-dimethylpentane",mobley_8668219,2.52,2.52
"2-bromo-1,1,1,2-tetrafluoro-ethane",mobley_8685905,0.50,0.50
m-cresol,mobley_8691603,-5.49,-5.49
N-isopropylpropan-2-amine,mobley_8705848,-3.22,-3.22
"N,N-dipropyl(propylsulfanyl)formamide",mobley_8713762,-4.13,-4.13
4-chloroaniline,mobley_8723116,-5.90,-5.90
3-methylbutan-2-one,mobley_8739734,-3.24,-3.24
"2,3-dimethylpyridine",mobley_8746821,-4.82,-4.82
propyl formate,mobley_8754702,-2.48,-2.48
pyridine-3-carbonitrile,mobley_8764620,-6.75,-6.75
isoprene,mobley_8765203,0.68,0.68
1-iodobutane,mobley_8772587,-0.25,-0.25
"2,5-dimethyltetrahydrofuran",mobley_8785107,-2.92,-2.92
2-iodophenol,mobley_8789465,-6.20,-6.20
"3,3,3-trimethoxypropanenitrile",mobley_8789864,-6.40,-6.40
pyridine-4-carbaldehyde,mobley_8798016,-7.00,-7.00
butylbenzene,mobley_8809190,-0.40,-0.40
trifluoromethylbenzene,mobley_8809274,-0.25,-0.25
"1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene",mobley_8823527,-3.61,-3.61
"1,2,4-trichlorodibenzo-p-dioxin",mobley_8827942,-4.05,-4.05
"2,4-dimethylpyridine",mobley_8861672,-4.86,-4.86
tetrahydrofuran,mobley_8882696,-3.47,-3.47
2-methylbenzaldehyde,mobley_8883511,-3.93,-3.93
cyclopentene,mobley_8885088,0.56,0.56
cyclopentanol,mobley_8899867,-5.49,-5.49
diethyl (2R)-2-dimethoxyphosphinothioylsulfanylbutanedioate,mobley_8916409,-8.15,-8.15
2-methylpyrazine,mobley_8966374,-5.51,-5.51
bromomethane,mobley_8983100,-0.82,-0.82
"2,3-dimethylbuta-1,3-diene",mobley_900088,0.40,0.40
naphthalen-1-yl N-methylcarbamate,mobley_9007496,-9.45,-9.45
1-bromooctane,mobley_9015240,0.52,0.52
"methyl 2,2,2-trifluoroacetate",mobley_9028462,-1.10,-1.10
butyl nitrate,mobley_902954,-2.09,-2.09
fluoromethane,mobley_9029594,-0.22,-0.22
methane,mobley_9055303,2.00,2.00
methylsulfanylmethane,mobley_9073553,-1.61,-1.61
methylcyclohexane,mobley_9100956,1.70,1.70
pent-2-ene,mobley_9112978,1.31,1.31
methyl 2-cyanoacetate,mobley_9114381,-6.72,-6.72
but-1-yne,mobley_9121449,-0.16,-0.16
"1,4-dimethylcyclohexane",mobley_9139060,2.11,2.11
propan-1-amine,mobley_9185328,-4.39,-4.39
oct-1-ene,mobley_9197172,1.92,1.92
methyl methanesulfonate,mobley_9201263,-4.87,-4.87
"N,N-dimethylmethanamine",mobley_9209581,-3.20,-3.20
"penta-1,4-diene",mobley_9246215,0.93,0.93
dibromomethane,mobley_9246351,-1.96,-1.96
"3,4-dichlorophenol",mobley_9257453,-7.29,-7.29
diethoxy-(4-nitrophenoxy)-thioxo-$l^{5}-phosphane,mobley_9281946,-6.74,-6.74
1-bromohexane,mobley_929676,0.18,0.18
octan-2-one,mobley_9407874,-2.88,-2.88
1-methylnaphthalene,mobley_9414831,-2.44,-2.44
2-bromopropane,mobley_9434451,-0.48,-0.48
diethoxy-(ethylsulfanylmethylsulfanyl)-thioxo-$l^{5}-phosphane,mobley_9460824,-4.37,-4.37
o-xylene,mobley_9478823,-0.90,-0.90
"2,5-dimethylpyridine",mobley_9507933,-4.72,-4.72
"1,2,3,4-tetrachloro-5-phenyl-benzene",mobley_9510785,-3.48,-3.48
piperazine,mobley_951560,-7.40,-7.40
"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",mobley_9534740,-25.47,-25.47
5-chlorouracil,mobley_9557440,-17.74,-17.74
9H-fluorene,mobley_9565165,-3.35,-3.35
endosulfan alpha,mobley_9571888,-4.23,-4.23
decan-2-one,mobley_9617923,-2.34,-2.34
"1,3-dichloropropane",mobley_9624458,-1.89,-1.89
2-ethoxyethanol,mobley_9626434,-6.69,-6.69
"(1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol",mobley_9653690,-4.44,-4.44
2-nitropropane,mobley_967099,-3.13,-3.13
1-nitropropane,mobley_9671033,-3.34,-3.34
2-methylthiophene,mobley_9705941,-1.38,-1.38
1-chloro-2-phenyl-benzene,mobley_9717937,-2.69,-2.69
"cyclohepta-1,3,5-triene",mobley_9729792,-0.99,-0.99
butan-1-amine,mobley_9733743,-4.24,-4.24
dichlobenil,mobley_9740891,-4.71,-4.71
"1,3-bis-(nitrooxy)butane",mobley_9741965,-4.29,-4.29
2-methoxy-2-methyl-propane,mobley_9794857,-2.21,-2.21
"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",mobley_9821936,-4.53,-4.53
2-methylbutan-2-ol,mobley_9838013,-4.43,-4.43
3-methylhexane,mobley_9883303,2.71,2.71
"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",mobley_9897248,-4.78,-4.78
"(E)-1,2-dichloroethylene",mobley_9913368,-0.78,-0.78
1-ethyl-4-methyl-benzene,mobley_9942801,-0.95,-0.95
bromoethane,mobley_994483,-0.74,-0.74
2-isopropylsulfanylpropane,mobley_9974966,-1.21,-1.21
111-trifluoropropan-2-ol,mobley_9979854,-4.20,-4.20
